[2026-04-09 19:59:15] [INFO] Starting turnip bot in EXECUTE mode
[2026-04-09 19:59:18] [INFO] tick source=turnip_market_api mid=36.13 bid=36.12 ask=36.13 spread=0.0277% vol=1.2497% ret5=n/a% z=2.4571 book=0.7774 tape=-0.205 total=6019 settled=1570 pending=4449 avg=43.80 pnl=-17.5101%
[2026-04-09 19:59:19] [INFO] Executed SELL 1570 ref=35.97 success=True
[2026-04-09 19:59:26] [INFO] tick source=turnip_market_api mid=35.77 bid=35.90 ask=36.13 spread=0.643% vol=1.2484% ret5=-0.9964% z=2.1122 book=0.7775 tape=-0.0764 total=4449 settled=0 pending=4449 avg=33.71 pnl=6.1109%
[2026-04-09 19:59:36] [INFO] tick source=turnip_market_api mid=35.90 bid=35.77 ask=35.80 spread=0.0836% vol=1.2421% ret5=-0.6366% z=2.1911 book=0.892 tape=0.0078 total=4449 settled=0 pending=4449 avg=33.71 pnl=6.4966%
[2026-04-09 19:59:46] [INFO] tick source=turnip_market_api mid=36.32 bid=35.77 ask=35.94 spread=0.4681% vol=1.2395% ret5=0.5259% z=2.4863 book=0.8879 tape=-0.2694 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.7425%
[2026-04-09 19:59:56] [INFO] tick source=turnip_market_api mid=35.86 bid=35.77 ask=35.86 spread=0.251% vol=1.2387% ret5=-0.7473% z=2.1123 book=0.9709 tape=-0.1595 total=4449 settled=0 pending=4449 avg=33.71 pnl=6.3779%
[2026-04-09 20:00:09] [INFO] tick source=turnip_market_api mid=36.28 bid=35.93 ask=36.28 spread=0.9647% vol=1.2205% ret5=0.4152% z=2.5731 book=0.7285 tape=0.1014 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.6239%
[2026-04-09 20:00:16] [INFO] tick source=turnip_market_api mid=35.93 bid=36.14 ask=36.28 spread=0.3896% vol=1.2187% ret5=-0.5536% z=2.2057 book=0.6594 tape=0.0806 total=4449 settled=0 pending=4449 avg=33.71 pnl=6.5856%
[2026-04-09 20:00:27] [INFO] tick source=turnip_market_api mid=36.14 bid=36.14 ask=36.28 spread=0.3874% vol=1.2329% ret5=0.0277% z=2.4569 book=0.7083 tape=0.1316 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.2085%
[2026-04-09 20:00:38] [INFO] tick source=turnip_market_api mid=36.28 bid=36.14 ask=36.28 spread=0.3859% vol=1.2331% ret5=0.4152% z=2.4835 book=0.685 tape=0.3122 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.6239%
[2026-04-09 20:00:47] [INFO] tick source=turnip_market_api mid=36.28 bid=36.14 ask=36.28 spread=0.3859% vol=1.2296% ret5=0.4152% z=2.3992 book=0.6886 tape=0.313 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.6239%
[2026-04-09 20:00:56] [INFO] tick source=turnip_market_api mid=36.28 bid=36.14 ask=36.28 spread=0.3859% vol=1.217% ret5=0.4152% z=2.323 book=0.8174 tape=0.2241 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.6239%
[2026-04-09 20:01:06] [INFO] tick source=turnip_market_api mid=36.12 bid=36.12 ask=36.48 spread=0.9967% vol=1.22% ret5=-0.0277% z=2.1353 book=0.7038 tape=0.2765 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.1492%
[2026-04-09 20:01:18] [INFO] tick source=turnip_market_api mid=36.34 bid=36.34 ask=36.46 spread=0.3302% vol=1.1989% ret5=0.5812% z=2.2404 book=0.7208 tape=0.372 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.8018%
[2026-04-09 20:01:27] [INFO] tick source=turnip_market_api mid=36.12 bid=36.12 ask=36.46 spread=0.9413% vol=1.1995% ret5=-0.0277% z=2.0206 book=0.7682 tape=0.5459 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.1492%
[2026-04-09 20:01:37] [INFO] tick source=turnip_market_api mid=36.28 bid=36.28 ask=36.46 spread=0.4961% vol=1.2% ret5=0.4152% z=2.0871 book=0.8047 tape=0.5182 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.6239%
[2026-04-09 20:01:47] [INFO] tick source=turnip_market_api mid=36.28 bid=36.28 ask=36.48 spread=0.5513% vol=1.189% ret5=0.4152% z=2.0365 book=0.7848 tape=-0.0591 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.6239%
[2026-04-09 20:01:57] [INFO] tick source=turnip_market_api mid=36.48 bid=36.16 ask=36.23 spread=0.1919% vol=1.1897% ret5=0.9687% z=2.1269 book=0.8374 tape=0.0468 total=4449 settled=0 pending=4449 avg=33.71 pnl=8.2171%
[2026-04-09 20:02:07] [INFO] tick source=turnip_market_api mid=36.26 bid=36.61 ask=36.62 spread=0.0276% vol=1.1826% ret5=0.3598% z=1.9254 book=0.3333 tape=-0.0385 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.5645%
[2026-04-09 20:02:17] [INFO] tick source=turnip_market_api mid=36.26 bid=36.26 ask=36.62 spread=0.9928% vol=1.1627% ret5=0.3598% z=1.8805 book=0.3551 tape=-0.1554 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.5645%
[2026-04-09 20:02:26] [INFO] tick source=turnip_market_api mid=36.26 bid=36.26 ask=36.62 spread=0.9928% vol=1.1508% ret5=0.3598% z=1.8425 book=0.0108 tape=-0.069 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.5645%
[2026-04-09 20:02:38] [INFO] tick source=turnip_market_api mid=36.26 bid=36.26 ask=36.62 spread=0.9928% vol=1.1433% ret5=0.3598% z=1.8057 book=-0.0515 tape=-0.2684 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.5645%
[2026-04-09 20:02:48] [INFO] tick source=turnip_market_api mid=36.26 bid=36.26 ask=36.62 spread=0.9928% vol=1.1406% ret5=0.3598% z=1.7727 book=0.1068 tape=-0.2952 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.5645%
[2026-04-09 20:02:57] [INFO] tick source=turnip_market_api mid=36.26 bid=36.26 ask=36.62 spread=0.9928% vol=1.1394% ret5=0.3598% z=1.7371 book=0.1634 tape=-0.4893 total=4449 settled=0 pending=4449 avg=33.71 pnl=7.5645%
[2026-04-09 20:03:07] [INFO] tick source=turnip_market_api mid=36.70 bid=36.35 ask=36.70 spread=0.9537% vol=1.1379% ret5=1.5776% z=1.98 book=0.5814 tape=-0.4936 total=4449 settled=0 pending=4449 avg=33.71 pnl=8.8698%
[2026-04-09 20:03:16] [INFO] tick source=turnip_market_api mid=36.46 bid=36.54 ask=36.70 spread=0.4388% vol=1.1269% ret5=0.9134% z=1.785 book=0.5133 tape=-0.6912 total=4449 settled=0 pending=4449 avg=33.71 pnl=8.1578%
[2026-04-09 20:03:26] [INFO] tick source=turnip_market_api mid=36.67 bid=36.67 ask=36.71 spread=0.1091% vol=1.1181% ret5=1.4946% z=1.8725 book=0.3523 tape=-0.1035 total=4449 settled=0 pending=4449 avg=33.71 pnl=8.7808%
[2026-04-09 20:03:36] [INFO] tick source=turnip_market_api mid=36.71 bid=36.67 ask=36.71 spread=0.109% vol=1.1187% ret5=1.6053% z=1.8595 book=0.3976 tape=-0.1272 total=4449 settled=0 pending=4449 avg=33.71 pnl=8.8994%
[2026-04-09 20:03:46] [INFO] tick source=turnip_market_api mid=36.87 bid=36.81 ask=36.87 spread=0.1627% vol=1.1076% ret5=2.0482% z=1.9154 book=-0.0016 tape=-0.2198 total=4449 settled=0 pending=4449 avg=33.71 pnl=9.3741%
